Extrinsic ID,Date,Block,Hash,Symbol,From,To,Value,Result,year-month,quarter
6721600-2,2024-07-19 17:29:24,6721600,0x36b0567dab6ca0b05a2672c3708172fdc0506586365c3974b095819de7a7b94f,30,136FwWWfX7jf9pKxE66UXzQ25QJrcP77q5jPfwxC9M2xdsHn,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,50000000000,TRUE,2024-07,2024-Q3
7172238-0,2024-09-21 12:13:24,7172238,0xebde672f620d5ab73641b14ff624e7f9ca91b5c1fd59c5325589dd3f7f92f78a,30,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,153HL95Sjq1g3vs2pNw4zLr39ZRPRrxvgsRhKC5e4dtDwKYU,59000000,TRUE,2024-09,2024-Q3
6802481-0,2024-07-31 03:46:30,6802481,0x877a1f355dc6a669253fca78b72999e000a0ce421577fa65ff0af6d578a00843,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12hAtDZJGt4of3m2GqZcUCVAjZPALfvPwvtUTFZPQUbdX1Ud,200,TRUE,2024-07,2024-Q3
6889093-0,2024-08-12 08:48:36,6889093,0x5d1ab10056926134127cd3ecaa7934edfc16bb3917567551fa2029ac8acba9cd,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15UQ1nhCRRJoWf1C4LBraqCVXS91qPiWLiWQfnS3k8Dk4R79,478202.14,TRUE,2024-08,2024-Q3
7073366-0,2024-09-07 09:10:30,7073366,0xfa06bdd7cfd1baceaa5c86c0cc69aa964544753ad9555c3a1755b982dd949a2d,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16ZwocRmk9McUZuyivwovuhHsCWbhSeDS28JwFUsD4AbmXja,183326,TRUE,2024-09,2024-Q3
7102040-0,2024-09-11 11:24:48,7102040,0x2cfd2d8bdda8e07daaf032af4cfbae7cb61b5361ccccb11356485160ec659fa4,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1ntrYvz7gmd59Qv1ngdcwAupV4cY8DPMkMJBiPA2YUiVXvE,437560,TRUE,2024-09,2024-Q3
7116257-0,2024-09-13 11:18:48,7116257,0x88ef2f4b828f898e4ee74b32e81835a1d7214d98c0360cbd143f18d3d63a0001,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12h4KyK9qts4zMrgZgWPswnpVyhXU7XoZA5xDqoFAQ6JzkD4,181000,TRUE,2024-09,2024-Q3
7151429-0,2024-09-18 13:50:24,7151429,0x7e710fdcd272a82934e8d9d568d13fb7296ccb8a5f408d407c18963cc2aba1e5,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,312500,TRUE,2024-09,2024-Q3
7222959-0,2024-09-28 15:26:24,7222959,0x3648899cbba3bc9be01337b3f730cb22f17f71e54260b42f563717a760324c26,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16hdUXXYjoBQBpdQ14z7qk372rwNHkdQJ9YyBuPaXiZcqnru,3000000,TRUE,2024-09,2024-Q3
7228202-0,2024-09-29 09:04:00,7228202,0xd01bbbb1d6bbd33228f663c05b9009de85c6c5dd1e61e8f09e921e67087c3b49,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16W7xmgxqZr7n1eqt6acZ8TtAbXybJZi3k51y4qDCjzgVY4j,1961043.83,TRUE,2024-09,2024-Q3
7250805-2,2024-10-02 13:41:00,7250805,0xa9045c93165b4cfb113d9170a2645af4b7e4ae9a80812a927e7076f2ad14d5df,USDC,16hdUXXYjoBQBpdQ14z7qk372rwNHkdQJ9YyBuPaXiZcqnru,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,10,TRUE,2024-10,2024-Q4
7251703-2,2024-10-02 16:42:54,7251703,0x10984472455aae1759459f4e874842751dcd6367cbc98833b768ca1c95c5199d,USDC,16hdUXXYjoBQBpdQ14z7qk372rwNHkdQJ9YyBuPaXiZcqnru,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1499990,TRUE,2024-10,2024-Q4
7252819-0,2024-10-02 20:29:00,7252819,0x1dbf689c83cc889b2c9d90cec5ed88eac6b52bb78732fe098db219748ccb995a,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,122izuBjb4jxdQcwbQZLCHSMDLZLzWZS2grTME5ihpDm7Shm,520000,TRUE,2024-10,2024-Q4
7273300-0,2024-10-05 17:42:42,7273300,0xb9a6055a2ceda0a4741c2eb5926553e2f92fe8e0225126e214a56fb3383aeaf8,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14th8Bu7QNZXgQNTjrBvYodrL2Y3nTuxccmmNJNGn1zpHr8S,451400,TRUE,2024-10,2024-Q4
7273803-0,2024-10-05 19:24:24,7273803,0x833af215d90d742a636577dd89c33c62b57b95e9b8a1d543e78fda5de7fb1f80,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15nKYvAm8Yu9QVK65JWrhfyabhHkWywg21X9gX4GFJo3v4cT,1133000,TRUE,2024-10,2024-Q4
7383156-0,2024-10-21 05:28:42,7383156,0xeee057e4a84b8af546bc190342edc6809d66bc1a2001da39776879b5055a3aff,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,312500,TRUE,2024-10,2024-Q4
7389224-0,2024-10-22 02:02:24,7389224,0x974b085787c94e2d5c038bf2b9ba9dc97263cef28f74eefde5f4b587ffac2484,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15akZwzufEzFzfh18y4Q81Ci8TXyvH6hyUkRrxJED2MjEYhe,8400,TRUE,2024-10,2024-Q4
7592413-0,2024-11-19 14:15:18,7592413,0x94c64722b1348f5d6356245bd89c6800260dcafa41f31fda84edd430e00fadf2,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,312500,TRUE,2024-11,2024-Q4
7605973-2,2024-11-21 11:52:12,7605973,0xe58511eb201a67590e985abe0e8315d82c5e4c0ac0ae1eaec0864d527eb828b2,USDC,14XNJmoUzkvmh9cYoqG4axBRR4BWzWRbnFP79oiZgKu7V9bz,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,448.9144,TRUE,2024-11,2024-Q4
7814278-0,2024-12-20 19:00:30,7814278,0x5547b612ad113297a558218ddb465664eea59ab987ca362a0b2245dd534c4b7a,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12VzpjtNucJrxWBm3q92qgQVcfoWjhyzX39GrNNhczsBhnnU,200000,TRUE,2024-12,2024-Q4
7820363-0,2024-12-21 15:27:00,7820363,0x31efe7dae9ff65f0ad92224baacbfc3cae626014ff362b0730e2a9dadd4aa21f,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,13ns3Esc7LAMEDkioayiHLXQWDJ6GuWRRTkDA7pj1DGySLVv,392500,TRUE,2024-12,2024-Q4
7831874-0,2024-12-23 06:07:12,7831874,0x76e99dd9499a5c20be8261ce1751db62f03b9ef974d88c3673b7eb09b678a0aa,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16WCLocYQqR1n59skAM1ZkcsR8mWEt7muGXS86yak6hPGNuR,67600,TRUE,2024-12,2024-Q4
7834727-0,2024-12-23 15:44:54,7834727,0xf595f979e810279384ab5dd22666ed4d9875696f952097e8ba56e683dfb7c4ca,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,312500,TRUE,2024-12,2024-Q4
7943045-2,2025-01-07 19:20:00,7943045,0x576d7db59764ecb24291ea5ebe3c4cffb885e081c4ea956d9914a83fd51ded58,USDC,1ntrYvz7gmd59Qv1ngdcwAupV4cY8DPMkMJBiPA2YUiVXvE,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,11000,TRUE,2025-01,2025-Q1
8011392-0,2025-01-17 09:00:36,8011392,0x09dccca48e0852d7193ef2924553bb8c2c4ed856db043a6fab09393d621fef01,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,312500,TRUE,2025-01,2025-Q1
8028431-0,2025-01-19 18:16:12,8028431,0x732abdd66c91b93cd11fecbcfa0e279fc5e873d5c5c4ea4c0639eb10e8c3f7ec,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14PikhqPmGomc7zbCSWVyjGypbRTKvRK9y4fp2uGAZ3DVXZa,604400,TRUE,2025-01,2025-Q1
8141375-0,2025-02-04 14:22:12,8141375,0x5b7b7de790ebe66cc5230d5c4120d452d31b3bc67ba26549336cf41613f04269,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15NTkxu2WN5ZhdukxRTttcvSKCXgCuPBWywCd3zfjj2aQkaK,606380,TRUE,2025-02,2025-Q1
8184595-0,2025-02-10 15:16:36,8184595,0xc0ea3798a9486112e10e9a6ac5cbcab05bcd2a0aad0b34fa0e92915690156636,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1LX9m9Ee8u653hU1sxvvRNpV1ZjYExa7K8r9zjDws9GDLvp,300250,TRUE,2025-02,2025-Q1
8240990-0,2025-02-18 13:19:54,8240990,0xc6d50918ce721ff10b6a0d0574647e1a74e96230cf05efd32d9c5ca16df4abc6,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1ntrYvz7gmd59Qv1ngdcwAupV4cY8DPMkMJBiPA2YUiVXvE,100525,TRUE,2025-02,2025-Q1
8242651-0,2025-02-18 18:54:30,8242651,0x0160318f4eaa166a4f1cfe09f3a7b5494eeed6aa787043c6aa5087a4f413eed2,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,13EDmaUe89xXocPppFmuoAZaCsckaJy3deAyVyiykk1zKQbF,452000,TRUE,2025-02,2025-Q1
8255466-0,2025-02-20 13:55:54,8255466,0x7b68272f67e80895ead6bcb70665e01af68b8cc84f7472c38bd7aa82ddf477f6,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,312500,TRUE,2025-02,2025-Q1
8304998-0,2025-02-27 12:25:36,8304998,0x55ab5367f8412aba6d30aa41bf626a34c33355487e76bb68e60bc0050cce2949,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15fGrDWmFoaApnZXEw1Zg45zuCqpkbMS9YPzczeU9dHseUUu,21000,TRUE,2025-02,2025-Q1
8413054-0,2025-03-14 15:25:48,8413054,0x62a4d37c34c48cdc68363d4696bc5bae2e631cf2a76cf800320b78e77bbadc67,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15iSYzkbJVKoVQuF39F8NrRbCnZfU7xRFXoCKB5r4BKPrxYL,3000000,TRUE,2025-03,2025-Q1
8425431-0,2025-03-16 09:02:42,8425431,0x0215b5e6b0dbb45449cf646a7d6af1fc5404874006b42c473347e24fd4e2cf10,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,13bfKSQXoBn3AMLtZaW6BKv797fqZzsD3PYF6xpJDir3tdoE,264838.09,TRUE,2025-03,2025-Q1
8432198-0,2025-03-17 07:53:48,8432198,0x4afef245d311407365bb49b29b348f34797689666bb8cea14afe6f36a7b6c8eb,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14dut6zGgdVmKijePZzrQAy2gZ6FmMDmzzp7VqjzPV9E4ujR,169520,TRUE,2025-03,2025-Q1
8433071-0,2025-03-17 10:50:48,8433071,0x2f555bd965892443d681e5da81e60d1d3b1d6142e6a1a9f5fed5fa15a033cda7,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1ioDyqyquk949WZLePvHF3NndBqCmFW7jAigpzybifJ4YZ9,1000,TRUE,2025-03,2025-Q1
8439704-0,2025-03-18 09:13:12,8439704,0x7475df59284722c5878f278326decd076b08d3a33ae613a54f5412d7b676be56,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,312500,TRUE,2025-03,2025-Q1
8514211-0,2025-03-28 19:57:18,8514211,0x4cf2ac558008bbf63faa022187c77d1fcb86b8a4fb9859607d6ddee3b842b79d,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,167tDhLwaQ6kmqau1zwWx48Ux7CS1rxC9jW5kn8PeRZWAVUy,656660.31,TRUE,2025-03,2025-Q1
8528640-0,2025-03-30 20:34:18,8528640,0xbeeb035be3864b553daab58e71f8ae3f044edb6bb4a19c7ea2e77098a8bf3191,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1soESeTVLfse9e2G8dRSMUyJ2SWad33qhtkjQTv9GMToRvP,2400,TRUE,2025-03,2025-Q1
8535468-0,2025-03-31 19:36:54,8535468,0x04ecbe877bed5eed5c06ff7ba7bd3846e2ca7161e1fe2bceb7e23f9846f0e46e,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16WCLocYQqR1n59skAM1ZkcsR8mWEt7muGXS86yak6hPGNuR,89440,TRUE,2025-03,2025-Q1
8588830-0,2025-04-08 08:02:24,8588830,0xe34754153ca6d90e6f57013cd036b27168a9925a2f342512e4b5fc965f87fa9e,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15KwuFdsnXCU9RFutSxgVDqmC9uf6Wdivv9xjNioWJS4t5C6,234915.83,TRUE,2025-04,2025-Q2
8632170-0,2025-04-14 10:38:00,8632170,0xac499a1b31b56d0414cd4f4f39a90443da3360922dbf517d2f70c7cb8da2e26b,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1ZUG7957Gfidjgm6sg4EZfFtKpJLXSWDRY7o5d1JGKJLoMM,2125,TRUE,2025-04,2025-Q2
8638769-0,2025-04-15 08:52:12,8638769,0x0362209680920e2fdcb9a1ed5110c5c41cb17f4df43acc4e8274669f6a6c5c5f,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15YVShWH1eZ5x4EEMcdUTKQ6qV3hzV1Y5N2F9V2nttmGNqaS,43761,TRUE,2025-04,2025-Q2
8654020-3,2025-04-17 13:03:24,8654020,0x8fe82e251944d7620529147c18aaabba4c8cfb9b94761b3860b6a892b5664645,USDC,167tDhLwaQ6kmqau1zwWx48Ux7CS1rxC9jW5kn8PeRZWAVUy,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1612.71,TRUE,2025-04,2025-Q2
8881893-0,2025-05-20 01:31:00,8881893,0xcfbdf57484c4fbf0381536e502d006661cdc100440443ac4a641bf45fea8b69a,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,312500,TRUE,2025-05,2025-Q2
8892465-0,2025-05-21 13:21:54,8892465,0x2fb16e91dda2b7d9719f85197cabf42b3d5966ff2b27a3c2e22beb6d719434e0,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15FvxWCgCfZVvXzL6WbkfntzNVftTkF1BbZCUS1sf7u4hG2B,290899,TRUE,2025-05,2025-Q2
8923082-0,2025-05-25 21:05:24,8923082,0xb938e2a003783bbfb1e46b1d08ef3cbdc80bdc21d9d6abb7fa3ff65e0c4d1207,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,13tsQdPC7Q5Sboxd9vcJbE72muR7bdqmzDLKjGW12cWbzNjr,144520,TRUE,2025-05,2025-Q2
8940984-0,2025-05-28 09:39:18,8940984,0x159bb7a51ddc2a90254592b357ac5a1aea6cab1127c8341c097fc5faad3bab33,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12v9fkNQWRW9268a1Z7wQi3bUScwK4iXGhwgHAoP5ahMvKwW,50000,TRUE,2025-05,2025-Q2
8941199-0,2025-05-28 10:23:42,8941199,0x1c2c1062054bad83a2208f417e324f965d43cc39510b05443ee7b53f69930d40,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12wnTQnY3qUTCofi792fTdf9HpQQ6jmyxrVdwyT6X2Jed4Yg,50000,TRUE,2025-05,2025-Q2
9039116-0,2025-06-11 07:16:18,9039116,0xcbd20c46f32a302ef7ded11e35b785f0d5f0945086582b4c677d92dc6ddb2ebe,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,13ns3Esc7LAMEDkioayiHLXQWDJ6GuWRRTkDA7pj1DGySLVv,392500,TRUE,2025-06,2025-Q2
9046682-0,2025-06-12 08:51:06,9046682,0xf78870985f9c6f6f877ab3bc1d11be4e8be6314e0035e61bd493d3d6eecfcb91,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14cJkR7bWSaFFwVR5qpyMh3LYZhLvCNKTeMRhrXAxTe5RDqp,9500,TRUE,2025-06,2025-Q2
9070022-0,2025-06-15 15:33:36,9070022,0xcd5da89abef55c0b6d1c5a4303c49fa5efc542e467f4fa20bbecbdfa37aea956,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1t67YMM4myXZ745px9a8PNWhU8FMyYJf5uXGowuwSAnp4x8,1500,TRUE,2025-06,2025-Q2
9070689-0,2025-06-15 17:48:54,9070689,0xb0f0346bac740344129ab747c2c408465223f09e5130f26a05aa807cf02e6cbc,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,147J99J3e1ghLxAuaYvyMfxVaU53DP73XGmbtUDtWBer7MP,7000,TRUE,2025-06,2025-Q2
9078566-0,2025-06-16 20:21:36,9078566,0xa49788d337d20188088149ea62499f231a968bd884461098f5a3f8dded2eabaa,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1wLHfDrpGNS29oHZuJn1ufKNwNDs6zi2XcZX9a9NjJVt6rm,2400,TRUE,2025-06,2025-Q2
9126428-0,2025-06-23 14:38:12,9126428,0x83f473e16bbfc5be045276e0a22f1ec9e7d476ac6a61f52bd3099140d20a3f7d,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16kkgkzjyJZL91WaL6GAUJnTZjiaowZcFyHAs5GWCNVqJimJ,128333.33,TRUE,2025-06,2025-Q2
9190306-0,2025-07-02 14:13:24,9190306,0x4d4d30704c15efc9cfe52122194d787aff15e37d5d5d452e9d4e143d593fe738,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14do91fmVwXh119DY2bwfSTchsyD3ePA3WkKGNzBwHXVd9zN,108000,TRUE,2025-07,2025-Q3
9198420-0,2025-07-03 17:40:24,9198420,0xed9042294216bc0ee3206aad8b8f4847348a25542eb5d0a75ecf29e36a503574,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,137TRC1ELwnsoXatmHDpBTzkTQCwTrSkqCA4LXgNwQj8h27B,632000,TRUE,2025-07,2025-Q3
9221151-0,2025-07-06 22:30:24,9221151,0xa15b08150bbf20a148550d832b4b6d13d436c6bd821385b8d9495eea32dedd68,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12sNU8BXivMj1xQmcd4T39ugCyHjmhir8jkPqfAw5ZDESrx4,444124,TRUE,2025-07,2025-Q3
9230682-0,2025-07-08 06:39:54,9230682,0x5573e67ebea3fa942a2fd534c04b42024a32d1a38011b9704195e8606750070c,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1ZUG7957Gfidjgm6sg4EZfFtKpJLXSWDRY7o5d1JGKJLoMM,2380,TRUE,2025-07,2025-Q3
9232986-0,2025-07-08 14:30:42,9232986,0x8e343f39b904763c1102ee2583b541bd565874653420b920bcae0e10f3b6874b,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15EwM85HZWPyGyUZzNnb8j1fEwtx3dv4oKxnmmtyB7Boobyv,7750,TRUE,2025-07,2025-Q3
9299839-0,2025-07-18 02:27:12,9299839,0x8b007bd58fe7f246f2d8612794ec776ab64a356a626a7b44d40d7044d5646306,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14QhzKsxmrECK8EDpLzzep8tWcYMUPYfXGfmgqM8cVtYRJjJ,1500,TRUE,2025-07,2025-Q3
9299853-0,2025-07-18 02:30:00,9299853,0xa5f14910944e830ec3cf338221b4ed18e7910ff819ebc1cd10f0986eb428600a,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,128sq7FMkiK1f2Z8pZDfkWsgtZFfiXwRpqKmo5MPoLip8fsf,1500,TRUE,2025-07,2025-Q3
9308281-0,2025-07-19 07:48:00,9308281,0xdf0194026e1e451ee05d60b97f979792fdf77b3352f1a45369f8a6d8df25ff41,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16WCLocYQqR1n59skAM1ZkcsR8mWEt7muGXS86yak6hPGNuR,89000,TRUE,2025-07,2025-Q3
9317831-0,2025-07-20 17:14:30,9317831,0x98239f7d25d1f89cda9c7c67825cf9c58f0ad152d53d955e4ae3eeb1968f9dbf,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15ETSrpHYC29m1p8AvKJh36FkoLu4PRGCpd3orY6B6ga415r,577500,TRUE,2025-07,2025-Q3
9337582-0,2025-07-23 15:11:30,9337582,0xaa9821147af776aedcca9efd1844eddcbd1c92a10fd5cdcd054621fecf1dd91d,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,167tDhLwaQ6kmqau1zwWx48Ux7CS1rxC9jW5kn8PeRZWAVUy,38640,TRUE,2025-07,2025-Q3
9337582-0,2025-07-23 15:11:30,9337582,0xaa9821147af776aedcca9efd1844eddcbd1c92a10fd5cdcd054621fecf1dd91d,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,13mXN7iHqN6JUuTAd2LecyT7D4NfdYn9xSiEvoJHnHJvpRXw,20600,TRUE,2025-07,2025-Q3
9351242-0,2025-07-25 15:43:54,9351242,0xbff87ba3a09e84b5d344b643128ac25fdcd97febd4436cc04849046dd2d3611b,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12WRGM4CTg5g7Wvvri6yUDf6ahDZ2aVd573M7ejg639oRbQk,10000,TRUE,2025-07,2025-Q3
9351244-0,2025-07-25 15:44:18,9351244,0xb687a9be912aba9371756312fd450f11d55a444aa4214e99305149d139c45fe7,USDC,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16MLAothZi5pE1ZcZZnBfAVer8h6CXTENnomThFuzi1pqPRa,137952,TRUE,2025-07,2025-Q3
